generationBatchId,dataLockStatus,familyCanonical,familyCode,productGroupKey,productSlug,productTitle,capacityMl,glassColorCanonical,glassColorCode,neckThreadSize,applicatorCanonical,applicatorCode,primaryOptionName,primaryOptionValue,primaryOptionCode,secondaryOptionName,secondaryOptionValue,secondaryOptionCode,graceSku,websiteSku,shopifyProductId,shopifyVariantId,convexProductId,convexProductGroupId,imageRole,outputFilename,outputWidth,outputHeight,sourceReferencePath,status,blockerNotes
2026-05-14-stakeholder-review,review,Round,ROUN,round-78ml-frosted-18-415-reducer,round-78ml-frosted-18-415-reducer,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",78,Frosted,FRO,18-415,Reducer,RED,Glass Color,Frosted,FRO,Cap Color,Matte Silver,MATT,GB-RND-FRS-78ML-RDC-MSLV,GBRndFrst78RdcrMtSl,,,kd7090fm9h7r26h1qh1wfdtqqx81veeb,kh75ft9jr72fvjnrbhxw4z160x83jazc,pdp-main,GB-RND-FRS-78ML-RDC-MSLV__GBRndFrst78RdcrMtSl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-silver-matte-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Square,SQUA,square-15ml-clear-13-415-rollon,square-15ml-clear-13-415-rollon,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price ea",15,Clear,CLR,13-415,Metal Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Shiny Black,SHIN,GB-SQR-CLR-15ML-MRL-SBLK,GBSqr15MtlRollBlkSh,,,kd751q7knfv77xkp1njk95ka4981vfa8,kh7473acgn17bezn15v49abs0583jrdk,pdp-main,GB-SQR-CLR-15ML-MRL-SBLK__GBSqr15MtlRollBlkSh__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Empire,EMPI,empire-50ml-clear-18-415-antiquespray-tassel,empire-50ml-clear-18-415-antiquespray-tassel,"Empire design 50 ml, 1.7oz  clear glass bottle  with White vintage style bulb sprayer with tassel with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",50,Clear,CLR,18-415,Vintage Bulb Sprayer with Tassel,SPR,Glass Color,Clear,CLR,Cap Color,White,WHT,GB-EMP-CLR-50ML-AST-WHT,GBEmp50AnSpTslWht,,,kd70apykk9by59hq39527sy9q581tac1,kh754mdvzqqv480e7k365a00n583jmk2,pdp-main,GB-EMP-CLR-50ML-AST-WHT__GBEmp50AnSpTslWht__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-128ml-frosted-18-415-antiquespray,round-128ml-frosted-18-415-antiquespray,"Round design 128 ml, 4.33oz frosted glass bottle with matte silver vintage style sprayer with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",128,Frosted,FRO,18-415,Vintage Bulb Sprayer,SPR,Glass Color,Frosted,FRO,Cap Color,Matte Silver,MATT,GB-RND-FRS-128ML-ASP-MSLV,GBRndFrst128AnSpMtSl,,,kd7eds7sq8j1sn3agzwxqfpsnx81vwpk,kh7evx5rfsypynvncd80m8ybe583jqk7,pdp-main,GB-RND-FRS-128ML-ASP-MSLV__GBRndFrst128AnSpMtSl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Elegant,ELEG,elegant-100ml-frosted-18-415-lotionpump,elegant-100ml-frosted-18-415-lotionpump,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avail",100,Frosted,FRO,18-415,Lotion Pump,PMP,Glass Color,Frosted,FRO,Cap Color,Shiny Gold,SHIN,LB-ELG-FRS-100ML-LPM-SGLD,LBElgFrst100LtnShnGl,,,kd7ajtawzxg89jxvppg16j8vts81vkr5,kh77570xf8qd9tkcbf1npg8d8983jyed,pdp-main,LB-ELG-FRS-100ML-LPM-SGLD__LBElgFrst100LtnShnGl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-gold-lotion-pump-and-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-78ml-frosted-18-415-reducer,round-78ml-frosted-18-415-reducer,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",78,Frosted,FRO,18-415,Reducer,RED,Glass Color,Frosted,FRO,Cap Color,White,WHT,GB-RND-FRS-78ML-RDC-WHT,GBRndFrst78RdcrWht,,,kd7e90y8ft3k1yk2w61kqs4aqd81vqkt,kh75ft9jr72fvjnrbhxw4z160x83jazc,pdp-main,GB-RND-FRS-78ML-RDC-WHT__GBRndFrst78RdcrWht__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-white-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Atomizer,ATOM,atomizer-5ml,atomizer-5ml,"Silver slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",5,Clear,CLR,10mm,Atomizer,ATM,Glass Color,Clear,CLR,Cap Color,Silver,SILV,GB-SLM-CLR-5ML-ATM-SLV-T,GBAtom5SlimSl,,,kd75qfesm1k5yxhb4vrkr93ksd81t0my,kh72145wh6ae44by9aqgb8js5n83k4xp,pdp-main,GB-SLM-CLR-5ML-ATM-SLV-T__GBAtom5SlimSl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/silver-slim-atomizer-design-5-ml-bottle,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Cylinder,CYLI,cylinder-100ml-clear-18-415-lotionpump,cylinder-100ml-clear-18-415-lotionpump,"Cylinder design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Cylinde",100,Clear,CLR,18-415,Lotion Pump,PMP,Glass Color,Clear,CLR,Cap Color,Clear Overcap,CLEA,LB-CYL-CLR-100ML-LPM-COCP,LBCyl100LtnClOvrCap,,,kd7ez9ttn7jb03tvzkg4zknkrh81tq8c,kh721mw91ssyyxh31ea8k1gt2d83kmz9,pdp-main,LB-CYL-CLR-100ML-LPM-COCP__LBCyl100LtnClOvrCap__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Royal,ROYA,royal-13ml-clear-13-415-rollon,royal-13ml-clear-13-415-rollon,"Royal design 13ml, 1/2oz Clear glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",13,Clear,CLR,13-415,Plastic Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Shiny Silver,SHIN,GB-RYL-CLR-13ML-ROL-SSLV,GBRoyal13RollSlSh,,,kd76btw4ecp5p5vr6kv9c3ynrh81t6yn,kh7bzk4pcpdzz72zde9zvda1sn83jk0z,pdp-main,GB-RYL-CLR-13ML-ROL-SSLV__GBRoyal13RollSlSh__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Square,SQUA,square-15ml-clear-13-415-rollon,square-15ml-clear-13-415-rollon,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte copper cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e",15,Clear,CLR,13-415,Metal Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Matte Copper,MATT,GB-SQR-CLR-15ML-MRL-MCPR,GBSqr15MtlRollCuMatt,,,kd76p3vjpmt1ngyamrbdg65xth81t3yq,kh7473acgn17bezn15v49abs0583jrdk,pdp-main,GB-SQR-CLR-15ML-MRL-MCPR__GBSqr15MtlRollCuMatt__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap,ready_for_prompt_review,
