issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
image_prompt_blocked,promptMissingFields,BB-CJ-040-0003,CJ-JAR-FRS-40ML-01,CJFrst40BlkCap,Cream Jar,40,hasApplicator | hasCapStyle,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-CJ-040-0004,CJ-JAR-FRS-40ML-02,CJFrst40SlCap,Cream Jar,40,hasApplicator | hasCapStyle,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-032-0001,GB-GNI-BLU-32ML,GB1ozGenieBl,Decorative,32,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-CJ-060-0001,CJ-JAR-FRS-60ML,CreamJarFrstdPlsBlkPls2oz,Cream Jar,60,hasApplicator | hasCapStyle,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-032-0002,GB-GNI-CLR-32ML,GB1ozGenieCl,Decorative,32,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-035-0001,GB-ETF-BLU-35ML,GBEternalFlameBlue,Decorative,35,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-CJ-000-0001,CJ-JAR-60ML-WHT,CJWhitePlsSlFr2oz,Cream Jar,63,hasApplicator | hasCapStyle,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-035-0002,GB-ETF-CLR-35ML,GBEternalFlameClear,Decorative,35,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-003-0005,LB-LTB-CLR-3ML-CLR-T,LB3mlClear,Lotion Bottle,3,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-035-0003,GB-ETF-GRN-35ML,GBEternalFlameGreen,Decorative,35,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-030-0157,LB-LTB-CLR-30ML-SGLD-T,LB1ozGl,Lotion Bottle,30,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-030-0166,LB-LTB-CLR-30ML-T,LBMetalSilver1oz,Lotion Bottle,30,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,BB-GB-118-0001,GB-DEC-CLR-118ML,GBPearClear4ozStpr,Apothecary,118,hasApplicator,,Required prompt fields are missing for automated image generation.
